,Proposed,Proposed,Proposed,Proposed,Proposed,Proposed,Classic,Classic,Classic,Classic,Classic,Classic
 MethodTankId, Damped Exponential Smoothing, Holt Exponential Smoothing, LRL, Naive, Simple Exponential Smoothing, Theta Classic, Damped Exponential Smoothing, Holt Exponential Smoothing, LRL, Naive, Simple Exponential Smoothing, Theta Classic
TankId,,,,,,,,,,,,
16523,1.46,1.66,1.45,1.39,1.39,1.53,1.99,2.25,3.15,1.8,1.84,2.05
16581,0.9,0.99,0.99,1.0,0.84,0.82,1.04,1.06,1.06,1.0,1.0,1.03
16706,0.97,0.93,0.93,0.85,1.11,1.07,1.04,1.37,2.25,1.37,1.37,1.37
16833,0.86,0.83,0.94,0.85,0.85,0.84,0.87,1.06,3.64,1.01,1.01,1.04
16841,0.7,0.67,0.67,0.86,0.75,0.75,1.19,1.19,1.24,1.13,1.19,1.19
16843,0.77,0.76,1.38,0.73,0.78,0.77,0.99,1.04,5.62,1.04,1.04,1.04
16890,0.66,0.77,0.77,0.67,0.35,0.44,1.1,1.08,1.08,0.78,1.16,1.12
16892,0.67,0.65,0.54,0.69,0.67,0.66,0.6,0.76,1.01,0.87,0.87,0.82
16915,0.5,0.47,0.46,0.5,0.5,0.48,0.46,0.51,0.72,0.51,0.51,0.51
16933,0.33,0.35,0.35,0.82,0.71,0.3,1.32,1.43,1.31,1.44,1.44,1.44
16934,10.52,4.28,4.28,1.0,18.86,14.15,1.0,3.7,30.34,1.0,11.37,6.76
16935,1.04,0.9,0.87,1.29,1.29,1.09,0.98,0.75,1.54,1.05,1.05,0.8
16936,2.98,2.6,2.6,1.21,3.79,3.75,0.97,0.97,3.22,1.23,1.23,0.97
16938,3.4,4.72,4.29,5.02,5.02,4.87,0.74,5.79,15.39,6.63,6.63,6.21
16940,0.81,0.74,0.7,0.87,0.82,0.78,0.56,0.57,0.57,0.83,0.55,0.55
16944,0.89,0.89,0.74,0.91,0.88,0.89,0.85,1.36,1.77,1.39,1.41,1.39
16963,1.0,1.0,0.65,0.99,0.99,1.0,1.0,1.0,3.18,1.0,1.0,1.0
17001,0.76,0.69,0.69,0.83,0.91,0.92,1.29,1.3,2.07,1.17,1.29,1.29
17002,0.5,0.5,0.55,0.5,0.5,0.5,0.83,0.94,1.27,0.43,0.43,0.43
17040,0.6,0.59,0.59,0.6,0.61,0.6,0.56,0.39,0.75,0.33,0.33,0.36
17076,1.51,1.49,1.22,1.51,1.51,1.5,1.67,1.77,2.46,1.79,1.79,1.78
17079,0.41,0.4,0.4,0.43,0.43,0.42,0.5,0.44,0.91,0.43,0.43,0.43
17122,0.46,0.5,0.64,0.46,0.46,0.47,0.25,0.33,2.33,0.26,0.26,0.29
17130,0.85,0.86,0.89,0.83,0.83,0.85,0.9,0.9,0.9,0.89,0.89,0.9
17131,0.5,0.51,0.56,0.53,0.53,0.52,1.35,1.71,3.77,1.72,1.72,1.71
17132,0.62,0.61,0.64,0.62,0.62,0.62,0.75,0.46,1.36,0.48,0.48,0.47
17133,0.44,0.43,0.43,0.74,0.63,0.53,1.0,1.04,3.08,0.95,1.04,1.04
17134,0.62,0.7,0.87,0.63,0.63,0.67,0.93,1.0,2.81,0.78,0.78,0.78
17136,0.76,0.71,0.71,0.71,0.71,0.71,1.0,1.0,1.88,1.1,1.1,1.1
17137,0.55,0.57,0.57,0.58,0.5,0.5,1.0,0.89,1.51,0.89,0.89,0.89
17138,0.73,0.69,0.69,0.69,0.8,0.78,1.04,1.02,1.3,1.0,1.0,1.01
17146,1.0,0.69,0.69,0.98,0.59,0.64,1.0,0.75,3.21,0.97,0.97,0.86
17151,0.48,0.45,0.45,0.42,0.55,0.53,0.94,0.75,1.65,0.78,0.78,0.76
